Index	TID	Accession	Synonym	Description
3257	10547	P32246	CMKBR1 	C-C chemokine receptor type 1
3258	11898	P30549	Tac2r	Substance-K receptor
3259	11899	Q04750	Top-1	DNA topoisomerase 1
3260	10542	Q15722	BLT 	Leukotriene B4 receptor 1
3261	11894	O55192	Slc6a2	Sodium-dependent noradrenaline transporter
3262	11895	P49660	Smstr4	Somatostatin receptor type 4
3263	11896	P05480	Src	Neuronal proto-oncogene tyrosine-protein kinase Src
3264	11897	P30548	Tac1r	Substance-P receptor
3265	10549	P70536	Otr	Oxytocin receptor
3266	11891	P31423	Gprc1d 	Metabotropic glutamate receptor 4
3267	11892	P07742	Rrm1	Ribonucleoside-diphosphate reductase large subunit
3268	106605	P00166	petD	Cytochrome b6-f complex subunit 4
3269	106607	P06402	psbA	Photosystem II protein D1
3270	109940	O70444	Kid1	Serine/threonine-protein kinase pim-3
3271	106601	O46521	CYBA	Cytochrome b-245 light chain
3272	106600	O35505	CACH2 	Voltage-dependent L-type calcium channel subunit alpha-1C
3273	106602	O80452	FAC1	AMP deaminase
3274	106608	P06988	None	Histidinol dehydrogenase
3275	104366	P51658	Edh17b2	Estradiol 17-beta-dehydrogenase 2
3276	109946	Q2FZQ3	fabI	Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI
3277	102734	Q9Y5X5	GPR74 	Neuropeptide FF receptor 2
3278	102733	Q9GZQ6	GPR147 	Neuropeptide FF receptor 1
3279	10403	P00735	F2	Prothrombin
3280	13030	P10111	Ppia	Peptidyl-prolyl cis-trans isomerase A
3281	13031	P35355	Cox-2 	Prostaglandin G/H synthase 2
3282	104097	P14488	Metallo-beta-lactamase type 2	Metallo-beta-lactamase type 2
3283	11094	P49430	Cyp5 	Thromboxane-A synthase
3284	11096	P19634	APNH1 	Sodium/hydrogen exchanger 1
3285	11097	P26431	Nhe1	Sodium/hydrogen exchanger 1
3286	11090	P51878	ICH3	Caspase-5
3287	104094	P0A1V9	oxa2	Beta-lactamase OXA-2
3288	11092	P13726	F3	Tissue factor
3289	109821	Q08210	Dihydroorotate dehydrogenase (quinone), mitochondrial	Dihydroorotate dehydrogenase (quinone), mitochondrial
3290	109823	Q04998	Inhba	Inhibin beta A chain
3291	11098	Q9UBY0	NHE2	Sodium/hydrogen exchanger 2
3292	102903	P25084	lasR	Transcriptional activator protein LasR
3293	109720	P03469	NA	Neuraminidase
3294	12968	O43614	HCRTR2	Orexin receptor type 2
3295	12965	P35370	Oor 	Nociceptin receptor
3296	30037	Q9HBH9	GPRK7 	MAP kinase-interacting serine/threonine-protein kinase 2
3297	12967	O14757	CHK1	Serine/threonine-protein kinase Chk1
3298	30036	Q9HAZ1	CLK4	Dual specificity protein kinase CLK4
3299	107645	O60307	KIAA0561	Microtubule-associated serine/threonine-protein kinase 3
3300	107640	Q9Y210	TRP6	Short transient receptor potential channel 6
3301	107641	Q13507	TRP3	Short transient receptor potential channel 3
3302	101020	P09482	CHRNA4	Neuronal acetylcholine receptor subunit alpha-4
3303	109958	Q9BSW2	EFCAB4B	EF-hand calcium-binding domain-containing protein 4B
3304	109954	Q9NXS2	QPCTL	Glutaminyl-peptide cyclotransferase-like protein
3305	109955	P33435	Mmp13	Collagenase 3
3306	109952	Q6TGC4	PAD6	Protein-arginine deiminase type-6
3307	105439	Q8I5C5	None	Macrophage migration inhibitory factor
3308	30038	Q9HC98	NEK6	Serine/threonine-protein kinase Nek6
3309	109731	Q76270	None	GP41
3310	109733	Q91H74	Genome polyprotein	Genome polyprotein
3311	104401	P03437	HA	Hemagglutinin
3312	104469	Q14995	NR1D2	Nuclear receptor subfamily 1 group D member 2
3313	100429	Q9EP66	Gpr109 	Hydroxycarboxylic acid receptor 2
3314	104468	P20393	EAR1 	Nuclear receptor subfamily 1 group D member 1
3315	100421	Q64725	Syk	Tyrosine-protein kinase SYK
3316	100420	Q07014	Lyn	Tyrosine-protein kinase Lyn
3317	100427	Q62928	Ptger2	Prostaglandin E2 receptor EP2 subtype
3318	100426	Q923Y8	Ta1 	Trace amine-associated receptor 1
3319	100425	Q923Y9	Ta1 	Trace amine-associated receptor 1
3320	100424	P42681	PTK4 	Tyrosine-protein kinase TXK
3321	11142	P30082	Gcgr	Glucagon receptor
3322	11143	P40989	FKS2 	1,3-beta-glucan synthase component GSC2
3323	11140	P27487	ADCP2 	Dipeptidyl peptidase 4
3324	11141	Q61606	Gcgr	Glucagon receptor
3325	10743	P78329	CYP4F2	Phylloquinone omega-hydroxylase CYP4F2
3326	104228	P78540	ARG2	Arginase-2, mitochondrial
3327	11149	O75116	KIAA0619	Rho-associated protein kinase 2
3328	101143	Q82323	Protease	Protease
3329	104462	O89017	Prsc1	Legumain
3330	102471	P29338	EIF4E	Eukaryotic translation initiation factor 4E
3331	103736	Q194T2	NS	Non-structural protein 1
3332	104367	Q9GME2	None	17-beta-hydroxysteroid dehydrogenase type 1
3333	101147	A0MJA4	NPC1L1	Niemann-Pick C1-like 1 protein
3334	104466	P30083	Vipr1	Vasoactive intestinal polypeptide receptor 1
3335	109600	Q07794	KIM2 	Histone acetyltransferase RTT109
3336	12545	Q62968	Sns	Sodium channel protein type 10 subunit alpha
3337	109603	W8T2T2	None	1-deoxy-D-xylulose 5-phosphate reductoisomerase
3338	12811	P21139	Man2c1	Alpha-mannosidase 2C1
3339	109605	Q5RJP0	Akr1b14	Aldose reductase-related protein 1
3340	109606	P16118	F6PK 	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1
3341	12812	P24053	Nmbr	Neuromedin-B receptor
3342	109609	P56528	Cd38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
3343	101144	Q836J0	murI	Glutamate racemase
3344	12818	P56192	MARS	Methionine--tRNA ligase, cytoplasmic
3345	103516	O94759	EREG1 	Transient receptor potential cation channel subfamily M member 2
3346	101024	P09923	ALPI	Intestinal-type alkaline phosphatase
3347	103845	Q62120	Jak2	Tyrosine-protein kinase JAK2
3348	11839	Q12791	KCNMA 	Calcium-activated potassium channel subunit alpha-1
3349	10868	Q9NPC1	BLT2R 	Leukotriene B4 receptor 2
3350	19907	O04417	ZmCDPK1	Calcium dependent protein kinase
3351	103738	Q2Q167	Core protein	Core protein
3352	103088	Q9UPY5	SLC7A11	Cystine/glutamate transporter
3353	103734	Q05BA5	None	Nuclear receptor coactivator 3
3354	103735	Q17339	gld-1	Female germline-specific tumor suppressor gld-1
3355	103732	Q03164	ALL1 	Histone-lysine N-methyltransferase 2A
3356	103733	Q9FD53	mvd1 	Diphosphomevalonate decarboxylase
3357	103730	P9WMN3	glmU	Bifunctional protein GlmU
3358	11173	P11166	GLUT1	Solute carrier family 2, facilitated glucose transporter member 1
3359	103952	P53624	alpha-man-1 	Mannosyl-oligosaccharide alpha-1,2-mannosidase IA
3360	103950	P49763	PGFL 	Placenta growth factor
3361	100288	P69332	US28	G-protein coupled receptor homolog US28
3362	100287	Q63118	Cgrpr	Calcitonin gene-related peptide type 1 receptor
3363	100286	P30552	CCKBR	Gastrin/cholecystokinin type B receptor
3364	100282	P04271	S100B	Protein S100-B
3365	103958	O15305	PMM2	Phosphomannomutase 2
3366	12608	O15120	AGPAT2	1-acyl-sn-glycerol-3-phosphate acyltransferase beta
3367	10862	Q04400	Adcy5	Adenylate cyclase type 5
3368	11555	Q95254	GHSR	Growth hormone secretagogue receptor type 1
3369	11556	O08725	Ghsr	Growth hormone secretagogue receptor type 1
3370	11559	Q05343	Nr2b1	Retinoic acid receptor RXR-alpha
3371	11558	P28700	Nr2b1	Retinoic acid receptor RXR-alpha
3372	104016	Q9UIF8	KIAA1476	Bromodomain adjacent to zinc finger domain protein 2B
3373	11831	Q60614	Adora2b	Adenosine receptor A2b
3374	100645	P0C1P9	polC	DNA polymerase III PolC-type
3375	100603	P9WQD7	kasB	3-oxoacyl-[acyl-carrier-protein] synthase 2
3376	11396	Q08493	DPDE1	cAMP-specific 3',5'-cyclic phosphodiesterase 4C
3377	11395	Q13370	PDE3B	cGMP-inhibited 3',5'-cyclic phosphodiesterase B
3378	100600	P96830	Uncharacterized protein	Uncharacterized protein
3379	100607	P61076	trxr2	Thioredoxin reductase 2
3380	11392	P0AEY8	cmlA 	Multidrug transporter MdfA
3381	11391	P09250	TK	Thymidine kinase
3382	11390	P04066	FUCA1	Tissue alpha-L-fucosidase
3383	100867	O15552	FFA2 	Free fatty acid receptor 2
3384	100609	P56818	Bace	Beta-secretase 1
3385	11174	Q9Y2T3	KIAA1258	Guanine deaminase
3386	11399	P00750	PLAT	Tissue-type plasminogen activator
3387	11398	P08183	MDR1 	Multidrug resistance protein 1
3388	100193	Q99685	MGLL	Monoglyceride lipase
3389	103518	O78750	COII 	Cytochrome c oxidase subunit 2
3390	100194	Q02083	ASAHL 	N-acylethanolamine-hydrolyzing acid amidase
3391	103552	Q04707	ponA	Penicillin-binding protein 1A
3392	103553	Q3ZDS5	NS5B	NS5B
3393	100199	P04014	E1	Replication protein E1
3394	100640	P15840	mssSI	CPG DNA methylase
3395	103556	Q50H31	oxa-63	Class D beta-lactamase
3396	103555	Q4TVR4	blaSHV-55	Beta-lactamase
3397	11071	P32418	CNC 	Sodium/calcium exchanger 1
3398	10116	P47747	HRH2	Histamine H2 receptor
3399	101480	P28563	3ch134 	Dual specificity protein phosphatase 1
3400	12770	P47869	GABRA2	Gamma-aminobutyric acid receptor subunit alpha-2
3401	101487	P9WNS1	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase
3402	101484	P29376	TYK1	Leukocyte tyrosine kinase receptor
3403	109583	Q92995	ISOT3	Ubiquitin carboxyl-terminal hydrolase 13
3404	103514	Q16828	MKP3 	Dual specificity protein phosphatase 6
3405	12778	P09242	Akp-2 	Alkaline phosphatase, tissue-nonspecific isozyme
3406	103982	P51449	NR1F3 	Nuclear receptor ROR-gamma
3407	101172	P40347	LTP1	Low molecular weight phosphotyrosine protein phosphatase
3408	104453	Q4Q5S8	NMT	Glycylpeptide N-tetradecanoyltransferase
3409	101171	P40136	None	Calmodulin-sensitive adenylate cyclase
3410	101176	P42226	STAT6	Signal transducer and activator of transcription 6
3411	101177	P42227	Aprf	Signal transducer and activator of transcription 3
3412	101174	P41586	ADCYAP1R1	Pituitary adenylate cyclase-activating polypeptide type I receptor
3413	101175	P41738	Ahr	Aryl hydrocarbon receptor
3414	101178	P42229	STAT5	Signal transducer and activator of transcription 5A
3415	101179	Q86UE8	TLK2	Serine/threonine-protein kinase tousled-like 2
3416	10113	P30680	Sstr2	Somatostatin receptor type 2
3417	10958	P23204	Nr1c1 	Peroxisome proliferator-activated receptor alpha
3418	100998	Q62805	Galnr 	Galanin receptor type 1
3419	10110	Q60631	Grb2	Growth factor receptor-bound protein 2
3420	10952	Q15904	ATP6IP1 	V-type proton ATPase subunit S1
3421	280	P0DMS8	ADORA3	Adenosine receptor A3
3422	10950	Q99500	EDG3	Sphingosine 1-phosphate receptor 3
3423	282	P41180	GPRC2A 	Extracellular calcium-sensing receptor
3424	285	Q14654	KCNJ11	ATP-sensitive inward rectifier potassium channel 11
3425	10957	O15296	ALOX15B	Arachidonate 15-lipoxygenase B
3426	10954	P11150	HTGL	Hepatic triacylglycerol lipase
3427	286	Q16739	UGCG	Ceramide glucosyltransferase
3428	104357	O94222	lcc2	Laccase
3429	104672	P83512	Snake venom metalloproteinase BaP1	Snake venom metalloproteinase BaP1
3430	104673	O95932	TGM3L	Protein-glutamine gamma-glutamyltransferase 6
3431	104670	P05981	TMPRSS1	Serine protease hepsin
3432	104671	Q86TP1	PRUNE	Protein prune homolog
3433	104674	P21981	Tgm2	Protein-glutamine gamma-glutamyltransferase 2
3434	100975	Q9UPE1	MSSK1 	SRSF protein kinase 3
3435	262	P35408	PTGER2	Prostaglandin E2 receptor EP4 subtype
3436	261	P34995	PTGER1	Prostaglandin E2 receptor EP1 subtype
3437	102858	Q9JIA7	Sphk2	Sphingosine kinase 2
3438	266	P48443	NR2B3	Retinoic acid receptor RXR-gamma
3439	103838	P80456	AO	Aldehyde oxidase 1
3440	264	P39051	TPR	Trypanothione reductase
3441	102854	Q923I7	Sglt2 	Sodium/glucose cotransporter 2
3442	102855	P28571	Glyt1	Sodium- and chloride-dependent glycine transporter 1
3443	104525	Q9QLI9	PA	Polymerase acidic protein
3444	102850	P20918	Plg	Plasminogen
3445	100978	Q9W6Q1	NHE1	Sodium/hydrogen exchanger
3446	101399	Q99759	MAPKKK3 	Mitogen-activated protein kinase kinase kinase 3
3447	101397	Q99677	GPR23 	Lysophosphatidic acid receptor 4
3448	101395	P55899	FCRN	IgG receptor FcRn large subunit p51
3449	101392	P55085	GPR11 	Proteinase-activated receptor 2
3450	101390	P54763	Epth3 	Ephrin type-B receptor 2
3451	101391	P55058	PLTP	Phospholipid transfer protein
3452	101550	P97793	Alk	ALK tyrosine kinase receptor
3453	104071	Q16873	LTC4S	Leukotriene C4 synthase
3454	101552	Q00532	CDKL1	Cyclin-dependent kinase-like 1
3455	100929	Q9S446	None	LPXTG specific sortase A
3456	101554	Q9HB03	CIG30	Elongation of very long chain fatty acids protein 3
3457	101555	Q9HB55	CYP3A43	Cytochrome P450 3A43
3458	101008	Q9WVF6	Pla2a2 	Group IID secretory phospholipase A2
3459	101009	Q9WVG6	Prmt4	Histone-arginine methyltransferase CARM1
3460	101007	Q9WMX2	Genome polyprotein	Genome polyprotein
3461	101005	Q64346	Mkp3	Dual specificity protein phosphatase 6
3462	101002	Q63470	Dyrk	Dual specificity tyrosine-phosphorylation-regulated kinase 1A
3463	11774	Q99MA2	Xpnpep2	Xaa-Pro aminopeptidase 2
3464	101000	Q63341	Mmel	Macrophage metalloelastase
3465	17027	O97554	COX1	Prostaglandin G/H synthase 1
3466	17025	O77823	PDE4A	Cyclic AMP-specific phosphodiesterase SSPDE4A1A
3467	17024	O77636	TACE	Disintegrin and metalloproteinase domain-containing protein 17
3468	17022	O75106	AOC2	Retina-specific copper amine oxidase
3469	17021	O70526	BDKRB2	B2 bradykinin receptor
3470	10736	Q8TET4	GANC	Neutral alpha-glucosidase C
3471	10041	P21761	Trhr	Thyrotropin-releasing hormone receptor
3472	10734	Q14697	G2AN 	Neutral alpha-glucosidase AB
3473	10044	P68400	CK2A1	Casein kinase II subunit alpha
3474	10733	P04062	GC 	Glucosylceramidase
3475	17028	P00176	Cyp2b-1	Cytochrome P450 2B1
3476	115	P30556	AGTR1A 	Type-1 angiotensin II receptor
3477	114	P30542	ADORA1	Adenosine receptor A1
3478	117	P30874	SSTR2	Somatostatin receptor type 2
3479	116	P30559	OXTR	Oxytocin receptor
3480	110	P0AEK4	envM	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
3481	113	P30531	GABATR 	Sodium- and chloride-dependent GABA transporter 1
3482	112	P30518	ADHR 	Vasopressin V2 receptor
3483	109726	Q8I6Z5	Plasmepsin V	Plasmepsin V
3484	118	P30968	GRHR	Gonadotropin-releasing hormone receptor
3485	19912	O13423	GSL2	Glucan synthase
3486	102699	P60568	IL2	Interleukin-2
3487	12399	P26639	TARS	Threonine--tRNA ligase, cytoplasmic
3488	12396	P53634	CPPI	Dipeptidyl peptidase 1
3489	12394	P27791	Prkaca	cAMP-dependent protein kinase catalytic subunit alpha
3490	12395	Q63707	Dhodh	Dihydroorotate dehydrogenase (quinone), mitochondrial
3491	102925	P15387	Kcnb1	Potassium voltage-gated channel subfamily B member 1
3492	12390	Q02401	Lph	Lactase-phlorizin hydrolase
3493	102927	P97639	Gpr24 	Melanin-concentrating hormone receptor 1
3494	10602	Q28156	PDE5	cGMP-specific 3',5'-cyclic phosphodiesterase
3495	10600	P14646	Pde4b	cAMP-specific 3',5'-cyclic phosphodiesterase 4B
3496	11606	P09955	CPB	Carboxypeptidase B
3497	11601	P16469	ALOX15	Arachidonate 15-lipoxygenase
3498	11600	P50578	ALR 	Alcohol dehydrogenase [NADP(+)]
3499	11603	P00636	FBP	Fructose-1,6-bisphosphatase 1
3500	11602	P35750	CAPN1	Calpain-1 catalytic subunit
3501	12155	P97629	Irap 	Leucyl-cystinyl aminopeptidase
3502	10608	O00763	ACC2 	Acetyl-CoA carboxylase 2
3503	102454	O95544	NADK	NAD kinase
3504	102457	P35961	env	Envelope glycoprotein gp160
3505	11959	Q9NY47	KIAA0558	Voltage-dependent calcium channel subunit alpha-2/delta-2
3506	10131	P42574	CPP32	Caspase-3
3507	10133	P11474	ERR1 	Steroid hormone receptor ERR1
3508	105474	Q99570	VPS15	Phosphoinositide 3-kinase regulatory subunit 4
3509	10138	Q13093	PAFAH	Platelet-activating factor acetylhydrolase
3510	11950	P14423	Pla2g2a	Phospholipase A2, membrane associated
3511	10429	P42263	GLUR3 	Glutamate receptor 3
3512	11744	P49768	AD3 	Presenilin-1
3513	10420	O75688	PP2CB	Protein phosphatase 1B
3514	10426	Q9R297	None	Motilin receptor
3515	10427	P27986	GRB1	Phosphatidylinositol 3-kinase regulatory subunit alpha
3516	10424	Q15257	PTPA	Serine/threonine-protein phosphatase 2A activator
3517	108266	Q194T1	NA	Neuraminidase
3518	102637	Q9HD36	BCLB	Bcl-2-like protein 10
3519	102631	O60218	AKR1B11	Aldo-keto reductase family 1 member B10
3520	102639	P38398	RNF53	Breast cancer type 1 susceptibility protein
3521	105495	Q92523	KIAA1670	Carnitine O-palmitoyltransferase 1, muscle isoform
3522	105496	O43772	CAC 	Mitochondrial carnitine/acylcarnitine carrier protein
3523	105490	Q9WUN2	Tbk1	Serine/threonine-protein kinase TBK1
3524	105492	Q6GG09	pyk	Pyruvate kinase
3525	10554	P16390	Kcna3	Potassium voltage-gated channel subfamily A member 3
3526	103454	O60885	HUNK1	Bromodomain-containing protein 4
3527	10553	P22001	HGK5	Potassium voltage-gated channel subfamily A member 3
3528	10550	P32871	PIK3CA	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform
3529	10551	P42337	Pik3ca	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform
3530	10558	P04774	Scn1a	Sodium channel protein type 1 subunit alpha
3531	10559	P04775	Scn2a1	Sodium channel protein type 2 subunit alpha
3532	106630	Q01HZ7	OSIGBa0132E09-OSIGBa0108L24.11	Glutamine synthetase
3533	104009	Q9BQF6	KIAA1707 	Sentrin-specific protease 7
3534	106633	Q27552	DHFR-TS	Bifunctional dihydrofolate reductase-thymidylate synthase
3535	106636	Q2TU57	Sterol-8,7-isomerase	Sterol-8,7-isomerase
3536	106637	Q31945	Chloroplast thylakoid membrane protein (psbA)	Chloroplast thylakoid membrane protein (psbA)
3537	106638	Q3V4E6	ACCase	Acetyl-CoA carboxylase
3538	106639	Q42840	CPX	Oxygen-dependent coproporphyrinogen-III oxidase, chloroplastic
3539	13049	P14100	PDE1A	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A
3540	103848	P13500	MCP1 	C-C motif chemokine 2
3541	18040	P24735	ampC	Beta-lactamase
3542	18043	P35499	SCN4A	Sodium channel protein type 4 subunit alpha
3543	18044	P39898	Plasmepsin-1	Plasmepsin-1
3544	18046	P46925	Plasmepsin-2	Plasmepsin-2
3545	100037	O53430	mca	Mycothiol S-conjugate amidase
3546	12978	P20456	IMPA	Inositol monophosphatase 1
3547	100478	P54687	BCT1 	Branched-chain-amino-acid aminotransferase, cytosolic
3548	108017	P46952	HAAO	3-hydroxyanthranilate 3,4-dioxygenase
3549	108014	Q673L6	Tert	Telomerase reverse transcriptase
3550	104264	Q86U86	BAF180 	Protein polybromo-1
3551	12973	P15348	Top2	DNA topoisomerase 2
3552	12970	O15547	P2RXL1 	P2X purinoceptor 6
3553	12971	P11715	Cyp17	Steroid 17-alpha-hydroxylase/17,20 lyase
3554	107657	Q9BUL5	PHF23	PHD finger protein 23
3555	11422	P52789	HK2	Hexokinase-2
3556	107653	P29375	JARID1A 	Lysine-specific demethylase 5A
3557	107659	Q96T88	ICBP90 	E3 ubiquitin-protein ligase UHRF1
3558	11881	P28472	GABRB3	Gamma-aminobutyric acid receptor subunit beta-3
3559	109949	P27958	Genome polyprotein	Genome polyprotein
3560	107627	P02144	MB	Myoglobin
3561	10918	Q08881	EMT 	Tyrosine-protein kinase ITK/TSK
3562	100444	O00206	TLR4	Toll-like receptor 4
3563	109943	O00400	ACATN 	Acetyl-coenzyme A transporter 1
3564	104267	Q48935	aph	Acetylpolyamine aminohydrolase
3565	10919	P23458	JAK1A 	Tyrosine-protein kinase JAK1
3566	100447	Q8IXJ6	SIR2L 	NAD-dependent protein deacetylase sirtuin-2
3567	109945	Q0GMK6	CDK4	Cyclin-dependent kinase 4
3568	109944	P0A9P4	None	Thioredoxin reductase
3569	109723	Q4QKG6	dxs	1-deoxy-D-xylulose-5-phosphate synthase
3570	100446	Q9NTG7	SIR2L3	NAD-dependent protein deacetylase sirtuin-3, mitochondrial
3571	107622	Q8CI15	Sphk1	Sphingosine kinase 1
3572	109725	Q8DW17	aguA	Putative agmatine deiminase
3573	100117	O88943	Kcnq2	Potassium voltage-gated channel subfamily KQT member 2
3574	109729	C3SLB7	None	Bifunctional protein GlmU
3575	109728	A0A0C7ACN7	None	PQB biosynthetic 3-oxoacyl-[acyl-carrier-protein] synthase III
3576	104266	Q15059	KIAA0043 	Bromodomain-containing protein 3
3577	103431	Q653V7	None	Probable alpha-glucosidase Os06g0675700
3578	11172	P78417	GSTTLP28	Glutathione S-transferase omega-1
3579	11170	P08689	Shbg	Sex hormone-binding globulin
3580	11177	O00329	PIK3CD	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform
3581	11176	Q14123	PDE1C	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C
3582	48	P08235	MCR 	Mineralocorticoid receptor
3583	49	P08514	GP2B 	Integrin alpha-IIb
3584	47	P08172	CHRM2	Muscarinic acetylcholine receptor M2
3585	11179	P0C869	PLA2G4B	Cytosolic phospholipase A2 beta
3586	104631	Q6ZQN7	None	Solute carrier organic anion transporter family member 4C1
3587	42	P07477	TRP1 	Trypsin-1
3588	43	P07550	ADRB2R 	Beta-2 adrenergic receptor
3589	40	P07202	TPO	Thyroid peroxidase
3590	101011	Q9X6W0	ponB	Penicillin-binding protein 1B
3591	109836	Q11201	SIAT4 	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 1
3592	109835	Q1W675	HMGR	3-hydroxy-3-methylglutaryl-coenzyme A reductase
3593	104261	P30987	Tbxa2r	Thromboxane A2 receptor
3594	109839	Q11130	FUT7	Alpha-(1,3)-fucosyltransferase 7
3595	109838	Q11203	SIAT6	CMP-N-acetylneuraminate-beta-1,4-galactoside alpha-2,3-sialyltransferase
3596	103483	P13674	P4HA	Prolyl 4-hydroxylase subunit alpha-1
3597	106614	P25162	Acr96Ac 	Acetylcholine receptor subunit beta-like 2
3598	12806	P25104	AGTR1	Type-1 angiotensin II receptor
3599	12807	P25095	Agtr1a 	Type-1A angiotensin II receptor
3600	12804	Q99519	NANH	Sialidase-1
3601	12553	Q9I8A2	VATB	Vacuolar H-ATPase B subunit osteoclast isozyme
3602	12802	P05364	ampC	Beta-lactamase
3603	101242	P15304	Lipe	Hormone-sensitive lipase
3604	105470	P97449	Lap-1 	Aminopeptidase N
3605	103096	O54939	Edh17b3	Testosterone 17-beta-dehydrogenase 3
3606	10854	Q9P0G3	KLKL6	Kallikrein-14
3607	100568	Q9Z0Y2	Pla2	Phospholipase A2
